age,job,credit_amount,duration,housing,saving_accounts,checking_account,purpose,risk
23,3,17593,56,rent,quite rich,moderate,radio/TV,bad
62,2,1475,49,own,moderate,little,furniture/equipment,good
55,2,8101,67,free,little,rich,repairs,bad
43,3,9300,69,rent,moderate,little,education,bad
43,0,16008,51,own,little,moderate,radio/TV,bad
67,3,2798,29,rent,moderate,little,business,good
23,3,8822,44,own,moderate,little,education,bad
58,2,3258,32,own,little,little,furniture/equipment,good
30,2,15805,46,own,little,little,vacation/others,bad
24,2,12737,59,rent,moderate,moderate,car,bad
48,1,10060,29,own,little,little,education,good
73,3,8010,38,own,quite rich,little,domestic appliances,good
60,0,3275,7,own,moderate,rich,education,good
61,1,18456,54,own,moderate,little,business,good
59,2,13041,37,own,little,moderate,education,good
63,3,6553,35,own,moderate,moderate,education,good
47,1,8425,40,own,rich,little,business,good
26,1,14592,18,own,little,little,education,bad
66,0,14461,44,rent,little,little,business,good
44,0,9356,54,own,little,moderate,domestic appliances,good
47,0,6232,27,rent,little,little,furniture/equipment,good
39,0,13284,12,own,moderate,little,furniture/equipment,good
29,3,13250,30,own,little,little,repairs,bad
70,3,12093,17,own,moderate,rich,repairs,good
62,3,1688,29,own,little,moderate,car,good
55,0,9587,46,own,little,rich,furniture/equipment,good
41,0,12374,11,rent,little,moderate,vacation/others,bad
65,1,19013,54,own,quite rich,moderate,education,good
49,2,10629,19,own,moderate,little,business,good
43,1,7018,64,rent,little,rich,furniture/equipment,good
44,1,11226,53,own,moderate,moderate,car,good
31,0,3750,22,own,little,little,radio/TV,good
24,2,2041,42,own,little,moderate,business,good
50,1,13642,11,own,little,moderate,repairs,good
68,0,19727,10,own,rich,little,business,good
22,2,16958,69,rent,moderate,little,domestic appliances,bad
67,3,11777,58,free,moderate,little,domestic appliances,good
65,0,1045,14,own,little,moderate,repairs,good
34,1,19762,23,rent,little,little,vacation/others,bad
54,3,9130,17,rent,moderate,moderate,domestic appliances,good
28,2,5970,30,own,little,little,repairs,good
61,3,17876,23,rent,rich,moderate,vacation/others,good
58,1,14991,26,rent,moderate,little,radio/TV,good
38,1,15054,39,free,little,rich,business,bad
22,2,5735,16,free,moderate,little,repairs,good
73,0,19838,64,own,rich,little,vacation/others,bad
43,0,9194,53,own,little,little,domestic appliances,good
69,2,10745,55,own,moderate,little,education,good
56,2,15081,15,own,quite rich,little,radio/TV,good
62,0,13284,52,own,little,moderate,education,good
61,2,3652,60,free,quite rich,rich,radio/TV,good
29,1,6223,15,own,little,moderate,repairs,good
39,2,7383,55,own,moderate,moderate,business,good
45,3,18963,28,rent,moderate,little,domestic appliances,good
46,0,14361,57,own,moderate,moderate,domestic appliances,bad
21,3,7485,36,own,little,moderate,radio/TV,good
49,1,14760,58,free,moderate,little,education,bad
27,3,14835,14,own,little,rich,repairs,good
60,1,8035,30,own,little,little,repairs,good
57,1,8212,22,own,little,moderate,car,good
70,3,17912,20,free,moderate,rich,car,good
60,2,11345,24,own,little,moderate,car,good
39,0,3202,30,own,little,little,business,good
73,2,14465,12,own,quite rich,moderate,business,good
42,3,11893,52,own,little,little,car,bad
37,1,10301,41,free,little,moderate,car,bad
69,3,14570,60,own,little,little,business,bad
39,2,18164,51,free,little,moderate,repairs,bad
23,1,6776,14,own,moderate,rich,radio/TV,good
45,0,8531,8,own,little,little,repairs,good
63,2,3992,32,rent,little,little,furniture/equipment,good
29,0,13029,36,own,rich,moderate,furniture/equipment,bad
44,3,8203,20,own,quite rich,little,radio/TV,good
26,2,7011,57,rent,moderate,little,vacation/others,good
57,1,14006,43,own,quite rich,little,business,good
45,0,8311,54,own,quite rich,little,furniture/equipment,bad
37,2,9421,11,free,little,moderate,repairs,good
31,0,8940,59,own,moderate,moderate,vacation/others,good
50,1,5356,18,own,moderate,little,vacation/others,good
56,3,2734,34,own,little,little,business,good
71,3,16587,33,own,little,little,furniture/equipment,good
43,3,2061,59,own,little,little,furniture/equipment,good
27,3,6666,22,rent,moderate,moderate,furniture/equipment,good
65,2,13432,20,own,moderate,little,furniture/equipment,good
54,0,2843,27,rent,moderate,moderate,furniture/equipment,good
58,3,13196,28,own,little,rich,radio/TV,good
24,3,14728,16,own,little,moderate,repairs,bad
36,3,13342,15,own,little,moderate,domestic appliances,good
61,2,6274,19,rent,little,little,domestic appliances,good
65,0,640,35,own,quite rich,little,furniture/equipment,good
43,2,17775,27,own,quite rich,little,furniture/equipment,good
64,1,6699,30,rent,quite rich,moderate,vacation/others,good
66,3,16148,52,rent,quite rich,moderate,repairs,good
40,1,4156,20,own,rich,little,furniture/equipment,good
69,1,3457,65,free,little,little,business,bad
35,0,15618,55,own,little,little,business,bad
32,3,18809,15,own,little,moderate,vacation/others,bad
57,3,17247,25,own,little,moderate,furniture/equipment,good
54,0,15087,16,own,little,moderate,education,good
26,1,5121,22,own,little,rich,vacation/others,good
65,1,18285,28,rent,rich,little,business,good
30,1,13440,12,own,little,moderate,furniture/equipment,good
64,3,3650,4,rent,rich,moderate,vacation/others,good
19,0,2804,33,free,moderate,little,domestic appliances,good
63,1,17455,51,rent,moderate,rich,domestic appliances,bad
63,0,5684,24,rent,moderate,little,repairs,good
62,0,15376,62,rent,little,moderate,business,bad
56,3,2988,29,free,moderate,moderate,car,good
45,3,5790,65,own,little,rich,repairs,good
58,0,5849,20,own,rich,moderate,business,good
34,2,5801,40,own,little,little,repairs,bad
62,0,13576,55,own,little,moderate,radio/TV,bad
50,0,18309,8,own,moderate,moderate,car,good
44,1,18228,67,rent,moderate,moderate,repairs,bad
